Ingredient,Product
"skinless, boneless chicken breast halves","Chicken Breast - Boneless, Antibiotic Residue-Free"
cooking oil,Gold - Pro Healthy Lifestyle Edible Oil
chopped onion,Onion
minced garlic,Garlic (Loose)
minced fresh ginger root,Garlic (Loose)
ground cumin,Cumin/Jeera/Jeerige - Whole
ground turmeric,Organic - Turmeric Powder
ground coriander,Coriander/Dhania Powder
crushed tomatoes,Tomato - Hybrid (Loose)
garam masala,Garam Masala
white rice,Organic - Sona Masoori White Rice
brown sugar,Brown Sugar/Sakkare
minced fresh ginger,Ginger (Loose)
minced garlic,Garlic (Loose)
red pepper flakes,Red Chilli Flakes
"skinless, boneless chicken breast halves, thinly sliced","Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs"
"sesame oil, divided",White Sesame Oil
"onion, cut into large chunks",Onion (Loose)
sliced carrots,Carrot - Orange (Loose)
"green bell pepper, cut into matchsticks",Palak 250g+Ladies Finger 500g+Cucumber 1kg+Capsicum Green 500g+Bottle Gourd 1pc
"boneless skinless chicken breasts, cut into 1 inch pieces","Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs',"
"onion, diced",Onion (Loose)
uncooked white rice,Organic - Sona Masoori White Rice
"onion, diced",Onion
uncooked white rice,Organic Brown Rice
crushed Italian tomatoes,Tomato - Local (Loose)
